,r4,r7,r27,r38,r43,r58,r61,r76,r82,r98
m0,1,1,1,1,1,1,1,1,1,1
m1,1,1,1,1,1,1,1,1,1,1
m2,1,1,1,1,1,1,1,1,1,1
m3,1,1,1,1,1,1,1,1,0,1
m4,1,1,1,1,1,1,1,1,1,1
m7,1,1,1,0,1,1,1,1,1,1
m10,1,1,1,1,1,1,1,1,1,1
m11,1,1,1,1,1,1,1,1,1,1
m12,0,1,1,1,1,1,1,1,1,1
m41,1,1,1,1,1,1,1,1,1,1
m45,1,1,1,1,1,1,1,1,1,0
m110,1,0,1,1,1,1,1,1,1,1
m272,1,1,1,1,1,1,1,1,1,1
