,r3,r4,r7,r27,r38,r43,r58,r61,r76,r82,r98,r99
m1,0,1,1,1,1,1,1,1,1,1,1,0
m2,0,1,1,1,1,1,1,1,1,1,1,0
m3,0,1,1,1,1,1,1,1,1,0,1,1
m5,1,1,1,1,0,1,1,1,1,1,1,1
m7,1,1,1,1,0,1,1,1,1,1,1,1
m41,0,1,1,1,1,1,1,1,1,1,1,0
